date,Open,High,Low,Close,Volume,Dividends,return,log_return,price,dp,log_volume,RF,bond_ret,term_spread,EPS,credit_spread,T10YIE,BBANDS_104,DEMA_104,EMA_104,KAMA_104,SMA_104,TEMA_104,HT_TRENDLINE,SAR,ADX_104,ADXR_104,APO_104,AROON_104,AROONOSC_104,BOP_104,CCI_104,CMO_104,MACD_104,MFI_104,MINUS_DI_104,MINUS_DM_104,MOM_104,PLUS_DI_104,PLUS_DM_104,PPO_104,ROC_104,RSI_104,STOCH_104,STOCHRSI_104,TRIX_104,ULTOSC_104,WILLR_104,AD,ADOSC_104,OBV,ATR_104,NATR_104,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inPHASE,HT_PHASOR_QUADR,HT_SINE_LOWER,HT_SINE_UPPER,HT_TRENDMODE,PR_STDDEV_104
2010-01-04,1.0266317191440133,1.102873025639781,0.944747790963385,1.0027151892240553,138.0,0.0,,,1.0027151892240553,,4.927253685157205,0.0,18.8862,3.77,,,2.38,0,,,,,,,,,,,0,,-0.15125055762859899,,,0,,,,,,,,,,0,,,,,-36.820691379924,,138.0,,,,,,,,,,0,
2010-01-05,0.9767075497576806,1.0370941699704979,0.942143723465003,0.992095990372245,468.0,0.0,-0.010590443792945714,-0.010646921647084676,0.992095990372245,,6.148468295917647,0.0,19.0141,3.7,,,2.34,0,,,,,,,1.102873025639781,,,,0,,0.1620681226988639,,,0,,,,,,,,,,0,,,,,-12.402555963648673,,-330.0,,,0.09495044650549489,,,,,,,0,
2010-01-06,1.0443485450668208,1.0451684909481527,0.9690759341597931,1.0004139541406205,977.0,0.0,0.008384232825348281,0.00834928037573772,1.0004139541406205,,6.884486652042782,0.0,18.9835,3.79,,,2.37,0,,,,,,,1.102873025639781,,,,0,,-0.5773835547200501,,,0,,,,,,,,,,0,,,,,-184.66561943447365,,647.0,,,0.07609255678835958,,,,,,,0,
2010-01-07,0.8837860904793107,1.0389299862139307,0.8344003040033674,0.9886588245341309,242.0,0.0,-0.011750265535417803,-0.011819845497933587,0.9886588245341309,,5.488937726156687,0.0,18.9899,3.8,,,2.41,0,,,,,,,1.102873025639781,,,,0,,0.512750682059212,,,0,,,,,,,,,,0,,,,,-61.627532395224776,,405.0,,,0.20452968221056333,,,,,,,0,
2010-01-08,1.0346187739270976,1.0520460559590874,0.891637229134611,0.9864593290311353,253.0,0.0,-0.0022247265167860686,-0.0022272048973181894,0.9864593290311353,,5.53338948872752,0.0,19.0322,3.78,,,2.42,0,,,,,,,1.102873025639781,,,,0,,-0.3002293941633248,,,0,,,,,,,,,,0,,,,,-15.51691923587363,,152.0,,,0.16040882682447644,,,,,,,0,
2010-01-11,0.9950771710004361,1.0095650666347005,0.9750041273153043,0.9949717797651418,405.0,0.0,0.008629297208195164,0.008592277639170733,0.9949717797651418,,6.003887067106539,0.0,19.0437,3.81,,,2.38,0,,,,,,,1.102873025639781,,,,0,,-0.0030494320284618803,,,0,,,,,,,,,,0,,,,,47.462215674137646,,557.0,,,0.03456093931939619,,,,,,,0,
2010-01-12,1.0689086614493304,1.079794236946917,0.9261074615674781,1.000580444193828,730.0,0.0,0.005637008549137068,0.005621180072093769,1.000580444193828,,6.593044534142437,0.0,19.1534,3.69,,,2.39,0,,,,,,,1.102873025639781,,,,0,,-0.4445939937695109,,,0,,,,,,,,,,0,,,,,24.943743385450706,,1287.0,,,0.15368677537943876,,,,,,,0,
2010-01-13,0.9679819265842065,1.0283222081653203,0.9586656286439033,1.0002566373687356,156.0,0.0,-0.0003236189823330182,-0.0003236713582560814,1.0002566373687356,,5.049856007249537,0.0,19.0825,3.74,,,2.37,0,,,,,,,1.102873025639781,,,,0,,0.46334044832916005,,,0,,,,,,,,,,0,,,,,55.234755825386756,,1131.0,,,0.06965657952141702,,,,,,,0,
2010-01-14,1.0695683065902724,1.1063129498459319,0.9781250768706232,1.0013484459081607,87.0,0.0,0.0010915284124455304,0.0010909331284481608,1.0013484459081607,,4.465908118654584,0.0,19.1497,3.71,,,2.36,0,,,,,,,0.8344003040033674,,,,0,,-0.5321865407287943,,,0,,,,,,,,,,0,,,,,-0.24224501142504806,,1218.0,,,0.12818787297530865,,,,,,,0,
2010-01-15,0.9160744063586862,1.0577480136872972,0.9077256306173589,1.0031987785799197,125.0,0.0,0.0018478409581799138,0.0018461358003270885,1.0031987785799197,,4.8283137373023015,0.0,19.1963,3.64,,,2.36,0,,,,,,,0.8344003040033674,,,,0,,0.5807424894765025,,,0,,,,,,,,,,0,,,,,33.8559275560187,,1343.0,,,0.15002238306993831,,,,,,,0,
