date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return,log_return,price,dp,log_volume,RF,bond_ret,term_spread,EPS,credit_spread,T10YIE
2010-01-04,87.70492032143441,88.50102891021872,87.03368882580679,88.4542007446289,118944600,0.0,0,,,88.4542007446289,,18.59416839645703,0.0,18.8862,3.77,,,2.38
2010-01-05,88.39956523748428,88.72737430365972,88.07955689568105,88.68834686279297,111579900,0.0,0,0.002647088732846692,0.00264359136400447,88.68834686279297,,18.530251484163294,0.0,19.0141,3.7,,,2.34
2010-01-06,88.60249631896644,88.96933284696772,88.53225406709477,88.75079345703125,116074400,0.0,0,0.000704112732362594,0.0007038649612916784,88.75079345703125,,18.56974192278518,0.0,18.9835,3.79,,,2.37
2010-01-07,88.58687955298255,89.23469692951468,88.33711942591309,89.12542724609375,131091100,0.0,0,0.004221188053308733,0.0042123038315569905,89.12542724609375,,18.691403059320418,0.0,18.9899,3.8000000000000003,,,2.41
2010-01-08,88.89127891788179,89.46104739939845,88.71176698113439,89.4220199584961,126402800,0.0,0,0.003327812517334605,0.003322287603118664,89.4220199584961,,18.654984191330417,0.0,19.0322,3.7800000000000002,,,2.42
2010-01-11,89.82005678929657,89.85907826656825,89.1644328507816,89.54688262939453,106375700,0.0,0,0.0013963302434500946,0.0013953562809191798,89.54688262939453,,18.482487725329698,0.0,19.043699999999998,3.81,,,2.38
2010-01-12,88.95372257008445,89.14104119044514,88.36834667104966,88.7117691040039,163333500,0.0,0,-0.009325992160407082,-0.009369751503990525,88.7117691040039,,18.91130468080848,0.0,19.153399999999998,3.6900000000000004,,,2.39
2010-01-13,88.93809642854121,89.71079679162945,88.48541032396258,89.4610366821289,161822000,0.0,0,0.008446089912225396,0.008410621269117931,89.4610366821289,,18.902007523679284,0.0,19.0825,3.7399999999999998,,,2.37
2010-01-14,89.35958809721235,89.866915110042,89.30495324689237,89.70301055908203,115718800,0.0,0,0.0027047962546298265,0.0027011448759153476,89.70301055908203,,18.566673668160163,0.0,19.1497,3.71,,,2.36
2010-01-15,89.54689339541113,89.63274303763035,88.35272171612384,88.6961441040039,212283100,0.0,0,-0.011224444406076728,-0.011287913868749427,88.6961441040039,,19.1734313191714,0.0,19.1963,3.64,,,2.36
2010-01-19,88.68054856777495,89.85910109341785,88.65712852976247,89.8044662475586,139172700,0.0,0,0.012495719568768271,0.012418292403219178,89.8044662475586,,18.75122616594076,0.0,19.1616,3.67,,,2.38
2010-01-20,89.19568377485173,89.32836756100431,88.18103570134407,88.89128875732422,216490200,0.0,0,-0.01016850863204366,-0.010220561080431366,88.89128875732422,,19.193055838793388,0.0,19.2149,3.6300000000000003,,,2.37
2010-01-21,88.91470539104657,89.1878796511764,87.0727218730965,87.18199157714844,344859600,0.0,0,-0.019229074120437284,-0.01941635751080574,87.18199157714844,,19.658647935644616,0.0,19.258699999999997,3.56,,,2.33
